DraftYear,Round,Pick,Age,GamesPlayed,Completions,Attempts,Yards,Touchdowns,Interceptions,RushAttempts,RushYards,RushTouchdowns,Player,College,Conference,Team,Heisman,Verdict
2004,7,202,24,46,744,1327,9014,70,30,144,-241,2,John Navarre,Michigan,Big Ten,ARI,0,0
2004,7,217,24,38,792,1373,9916,53,42,249,-186,11,Cody Pickett,Washington,Pac-12,SFO,0,0
2004,7,225,25,23,310,529,3831,37,18,149,345,5,Matt Mauck,LSU,Southeastern,DEN,0,0
2004,7,250,24,38,424,778,6165,37,30,420,2274,25,Bradlee Van Pelt,Colorado St.,Mountain West,DEN,0,0
2003,1,1,23,53,927,1569,11818,72,49,255,-197,9,Carson Palmer,USC,Pac-12,CIN,1,1
2003,1,7,23,61,939,1442,11903,89,28,190,181,6,Byron Leftwich,Marshall,Conference USA,JAX,0,1
2003,1,19,22,43,622,1301,7980,64,48,275,-169,6,Kyle Boller,California,Pac-12,BAL,0,1
2003,1,22,23,35,677,1110,9164,77,36,119,-133,6,Rex Grossman,Florida,Southeastern,CHI,0,1
2003,3,88,23,41,685,1180,8564,74,29,326,577,9,Dave Ragone,Louisville,Atlantic Coast,HOU,0,0
2003,3,97,23,41,535,911,7097,58,31,159,-137,10,Chris Simms,Texas,Big 12,TAM,0,0
2003,4,110,23,25,411,712,5289,26,27,237,912,15,Seneca Wallace,Iowa St.,Big 12,SEA,0,0
2003,5,163,23,44,457,803,5837,48,32,172,419,2,Brian St. Pierre,Boston Col.,Atlantic Coast,PIT,0,0
2003,6,192,23,24,196,351,2631,22,7,60,74,4,Drew Henson,Michigan,Big Ten,HOU,0,0
2003,7,241,22,41,668,1153,9565,86,28,59,-79,2,Ken Dorsey,Miami (FL),Atlantic Coast,SFO,0,0
2002,1,1,23,36,565,901,7458,65,22,177,95,9,David Carr,Fresno St.,Mountain West,HOU,0,1
2002,1,3,23,34,512,928,6911,59,23,145,210,18,Joey Harrington,Oregon,Pac-12,DET,0,1
2002,1,32,23,35,798,1355,9205,72,51,152,-128,4,Patrick Ramsey,Tulane,American Athletic,WAS,0,1
2002,3,81,23,30,340,664,4022,27,34,198,201,4,Josh McCown,SMU,American Athletic,ARI,0,1
2002,4,108,24,44,666,1169,9029,60,39,516,1209,21,David Garrard,East Carolina,American Athletic,JAX,0,1
2002,4,117,24,25,286,478,4415,29,15,66,77,0,Rohan Davey,LSU,Southeastern,NWE,0,0
